source,destination,distance_km,congestion_level,accidents,time_of_day,route_id,path
T Nagar,Guindy,14,Medium,0,Morning,R1,"[(13.0418188, 80.2340633), (13.0416264, 80.2340311), (13.0412393, 80.2340001), (13.0405658, 80.2338434), (13.0401158, 80.2340782), (13.0391393, 80.2346666), (13.037729, 80.2355623), (13.0368214, 80.2361488), (13.0356608, 80.2369), (13.0354087, 80.2370735), (13.0344933, 80.2376637), (13.0344493, 80.2376925), (13.0343838, 80.2375933), (13.0341938, 80.2371528), (13.0341555, 80.2369641), (13.0336507, 80.2369846), (13.0331386, 80.2369969), (13.0325299, 80.2370381), (13.0324669, 80.2370398), (13.0319889, 80.2370632), (13.0313997, 80.237122), (13.0313325, 80.2372251), (13.0311621, 80.2371576), (13.0311257, 80.2371813), (13.0299351, 80.2359737), (13.0287122, 80.2346943), (13.0287691, 80.2346268), (13.0282365, 80.2339412), (13.0277647, 80.2338244), (13.0270637, 80.2329391), (13.0266513, 80.2330212), (13.0265224, 80.2330691), (13.0264002, 80.2328905), (13.0259592, 80.2314274), (13.0257914, 80.2310285), (13.0252425, 80.2299386), (13.0245992, 80.2290433), (13.0242878, 80.2285918), (13.0211986, 80.2257563), (13.0207299, 80.2254189), (13.0160587, 80.2256714), (13.0156831, 80.2257738), (13.0150158, 80.2260049), (13.0144246, 80.2262127), (13.0140862, 80.2263551), (13.013815, 80.2264693), (13.0137264, 80.2261066), (13.0134427, 80.2262068), (13.0133284, 80.2258627), (13.0132132, 80.2259028), (13.0131795, 80.2259145), (13.0130485, 80.2259601), (13.0129739, 80.2259861), (13.0128732, 80.2260258), (13.0127635, 80.2256389), (13.0125201, 80.2257223), (13.0122512, 80.2258145), (13.0115476, 80.2256785), (13.0107055, 80.2249697), (13.0107557, 80.2248574), (13.0114027, 80.2232552), (13.0114955, 80.2230235), (13.0120189, 80.2215754), (13.0121486, 80.2210646)]"
Anna Nagar,Koyambedu,4,Medium,0,Afternoon,R2,"[(13.0881844, 80.2097462), (13.0884902, 80.2097574), (13.0887585, 80.2097662), (13.0887156, 80.2103283), (13.0870536, 80.2102676), (13.0866817, 80.2102589), (13.0855876, 80.210211), (13.0855324, 80.21021), (13.0849619, 80.2102364), (13.0848534, 80.2102368), (13.0844234, 80.2101808), (13.0843784, 80.2101794), (13.0841984, 80.2101743), (13.0838069, 80.210137), (13.0832094, 80.2100974), (13.0825727, 80.2101021), (13.082508, 80.2100982), (13.082508, 80.2100242), (13.0825042, 80.2097641), (13.0818163, 80.2097309), (13.0812512, 80.2096961), (13.08072, 80.2096859), (13.0805845, 80.2096934), (13.0805275, 80.2109818), (13.0804723, 80.2115157), (13.0790382, 80.2115004), (13.0790253, 80.2121418), (13.0788711, 80.2121103), (13.078569, 80.2120502), (13.0772514, 80.2117974), (13.077166, 80.2117818), (13.0771132, 80.211775), (13.0769454, 80.2117598), (13.0770826, 80.2106543), (13.0765836, 80.2105994), (13.0755702, 80.2103433), (13.075212, 80.210333), (13.0747448, 80.2102994), (13.0735078, 80.2102417), (13.0729354, 80.2102118), (13.0724239, 80.2102017), (13.0718191, 80.210159), (13.0715537, 80.2101486), (13.0709207, 80.2101422), (13.0709246, 80.2107154), (13.0696036, 80.2105623), (13.0695015, 80.2109915), (13.0694705, 80.2112391)]"
Velachery,T Nagar,9,Medium,0,Night,R3,"[(12.9789132, 80.2220314), (12.977566, 80.2226964), (12.977541, 80.2222232), (12.9775013, 80.221206), (12.9810784, 80.2210148), (12.981247, 80.2210859), (12.9822402, 80.2217186), (12.9825674, 80.2218538), (12.9827629, 80.2218989), (12.9831615, 80.2221099), (12.9838003, 80.2225076), (12.9840511, 80.2226639), (12.9850804, 80.2232491), (12.9854614, 80.2233142), (12.9859715, 80.2229796), (12.9861768, 80.2229732), (12.9870692, 80.2230567), (12.9878444, 80.2230558), (12.9886651, 80.2223986), (12.9886732, 80.222389), (12.9888541, 80.2221745), (12.9901027, 80.2207226), (12.9914347, 80.2195754), (12.9915156, 80.2195142), (12.9916774, 80.2194071), (12.9940178, 80.2177442), (12.9948066, 80.2171837), (12.9949281, 80.2170866), (12.9961312, 80.216596), (12.9972779, 80.2164696), (12.9989999, 80.2168763), (13.0003399, 80.2177247), (13.0010053, 80.2181298), (13.0015861, 80.2185305), (13.0067055, 80.2206349), (13.0091239, 80.221904), (13.0114955, 80.2230235), (13.0120189, 80.2215754), (13.0124371, 80.2214953), (13.0133321, 80.2226458), (13.0139131, 80.2232656), (13.0145452, 80.224045), (13.0159173, 80.2253225), (13.0160829, 80.2253448), (13.0195067, 80.2244285), (13.0198085, 80.2245859), (13.020342, 80.2249657), (13.0211638, 80.2255601), (13.0224351, 80.2265778), (13.0235251, 80.2275392), (13.0237001, 80.2276794), (13.0243828, 80.228522), (13.0247164, 80.2289552), (13.0253817, 80.2298378), (13.0256904, 80.2302838), (13.0260918, 80.2313679), (13.0295237, 80.2307557), (13.0301476, 80.230686), (13.0307619, 80.230653), (13.030776, 80.2307615), (13.031206, 80.2329217), (13.0317483, 80.2329544), (13.0323349, 80.2329955), (13.0325947, 80.2330132), (13.033015, 80.2330304), (13.0335202, 80.233041), (13.0341001, 80.2330687), (13.0346618, 80.2331176), (13.0346157, 80.2334729), (13.0351646, 80.2335305), (13.0354803, 80.2336102), (13.0360584, 80.2337462), (13.036459, 80.2338504), (13.0366568, 80.2338762), (13.037205, 80.2340129), (13.0374366, 80.2340683), (13.0380361, 80.2342218), (13.0390356, 80.2344722), (13.0390619, 80.2345165), (13.0406083, 80.2334299), (13.0407959, 80.2325732), (13.0409814, 80.2321464), (13.0410408, 80.2319931), (13.0422311, 80.2322548), (13.0422099, 80.2323975), (13.0418188, 80.2340633)]"
Tambaram,Guindy,20,Medium,0,Morning,R4,"[(12.9260216, 80.1173063), (12.9242298, 80.1156281), (12.9241835, 80.1156135), (12.9241169, 80.1155515), (12.9239159, 80.1153005), (12.9241309, 80.1150436), (12.9241731, 80.1150342), (12.924311, 80.1151193), (12.9244969, 80.1153707), (12.9264734, 80.1174867), (12.9264656, 80.1175648), (12.9281226, 80.1192021), (12.9290468, 80.1200876), (12.9294578, 80.1204999), (12.9300665, 80.1211311), (12.9304169, 80.12146), (12.9318663, 80.1228939), (12.9327529, 80.1237837), (12.9333543, 80.1244014), (12.9337623, 80.1248194), (12.9341197, 80.1251858), (12.9344479, 80.1255163), (12.9347621, 80.1258127), (12.935149, 80.1261547), (12.9356086, 80.1265663), (12.9366314, 80.1274706), (12.93796, 80.128592), (12.9430037, 80.1335583), (12.9441527, 80.1346304), (12.9446221, 80.1349621), (12.944719, 80.1350306), (12.9495179, 80.138621), (12.9504963, 80.1394857), (12.9506793, 80.1396255), (12.9520831, 80.1406975), (12.9528487, 80.1412823), (12.953592, 80.1417073), (12.9542247, 80.1420342), (12.9549675, 80.1424265), (12.9561557, 80.1430521), (12.9571176, 80.1435573), (12.9576254, 80.1438209), (12.9583236, 80.1442094), (12.9584157, 80.144251), (12.9612362, 80.1457278), (12.9615318, 80.1458996), (12.9635464, 80.1470208), (12.9643289, 80.1474955), (12.9646158, 80.1476569), (12.9648971, 80.1478337), (12.9651333, 80.1479502), (12.9748348, 80.1553307), (12.9769514, 80.158408), (12.9843987, 80.1715405), (12.9864174, 80.1743951), (12.9864769, 80.1744779), (12.9866787, 80.1748001), (12.9940514, 80.1853914), (12.9940945, 80.1854788), (12.9957213, 80.1887021), (12.9961287, 80.1892784), (13.0014259, 80.1958141), (13.0014917, 80.1959045), (13.0020622, 80.1967632), (13.0021225, 80.1972069), (13.0051569, 80.201362), (13.0057564, 80.2015188), (13.0063956, 80.2024806), (13.0064944, 80.2026735), (13.0070674, 80.2031905), (13.0068708, 80.2036629), (13.0073035, 80.204161), (13.0073787, 80.2041876), (13.0083659, 80.2040121), (13.0084448, 80.2041208), (13.0077549, 80.2061372), (13.007757, 80.2061468), (13.0081478, 80.2086623), (13.0085663, 80.2103263), (13.0090089, 80.2116525), (13.0101861, 80.2149099), (13.0109201, 80.2170576), (13.012363, 80.2210838), (13.012364, 80.2212602), (13.0121486, 80.2210646)]"
Guindy,Koyambedu,13,Medium,0,Evening,R5,"[(13.0121486, 80.2210646), (13.0104614, 80.2163283), (13.0084794, 80.2106348), (13.008165, 80.2097415), (13.0077142, 80.2070545), (13.0076364, 80.2065036), (13.007614, 80.2063452), (13.0075844, 80.2059253), (13.0073669, 80.2053353), (13.0073085, 80.2047431), (13.0073166, 80.2042558), (13.0073035, 80.204161), (13.0073787, 80.2041876), (13.0083659, 80.2040121), (13.0092014, 80.2035242), (13.0093775, 80.2035073), (13.0098848, 80.203485), (13.0112436, 80.2035674), (13.0127638, 80.2039554), (13.0137092, 80.2042207), (13.0158749, 80.2050022), (13.0161323, 80.2050864), (13.0171621, 80.2054532), (13.0176611, 80.2056407), (13.0182058, 80.2058195), (13.0190019, 80.2060881), (13.0193643, 80.2061732), (13.0197889, 80.2062735), (13.0216456, 80.2062933), (13.0222375, 80.2063264), (13.0229689, 80.2064482), (13.0236739, 80.2065764), (13.0237238, 80.2065898), (13.0240736, 80.2066834), (13.0254279, 80.2069983), (13.0288105, 80.2086212), (13.0291311, 80.2086811), (13.0302256, 80.2089959), (13.032008, 80.2095127), (13.0322513, 80.2095566), (13.0323652, 80.2095772), (13.0326042, 80.2096198), (13.0332591, 80.2097421), (13.0338398, 80.2098505), (13.0347201, 80.2099925), (13.0351031, 80.2103689), (13.0350366, 80.2107389), (13.0349402, 80.2114401), (13.0348314, 80.2118803), (13.0368174, 80.2122602), (13.0373172, 80.2122341), (13.0374627, 80.2122385), (13.0382009, 80.212261), (13.0405356, 80.2122601), (13.0426844, 80.21226), (13.0432995, 80.2122557), (13.0438541, 80.2122519), (13.0442799, 80.2122478), (13.0443735, 80.212243), (13.0470424, 80.2121445), (13.0475073, 80.2121042), (13.0525097, 80.2118795), (13.0538847, 80.2115092), (13.0545307, 80.2113352), (13.0563277, 80.2113783), (13.0567366, 80.2113944), (13.057738, 80.2114207), (13.0580208, 80.2114294), (13.0583251, 80.2114344), (13.0588383, 80.211426), (13.0598446, 80.2114769), (13.0610064, 80.2115318), (13.0614767, 80.2115564), (13.0626955, 80.2116127), (13.0637559, 80.2115475), (13.0658012, 80.2104621), (13.0665819, 80.2098068), (13.0674379, 80.2085728), (13.0676528, 80.2087178), (13.0670089, 80.209696), (13.0673594, 80.2098011), (13.0675304, 80.20981), (13.0674901, 80.2100617), (13.068953, 80.2102134), (13.0689093, 80.2104749), (13.0696036, 80.2105623), (13.0695015, 80.2109915), (13.0694705, 80.2112391)]"
Anna Nagar,Guindy,15,Medium,0,Morning,R6,"[(13.0881844, 80.2097462), (13.0884902, 80.2097574), (13.0887585, 80.2097662), (13.0887156, 80.2103283), (13.0870536, 80.2102676), (13.0866817, 80.2102589), (13.0855876, 80.210211), (13.0855324, 80.21021), (13.0849619, 80.2102364), (13.0848534, 80.2102368), (13.0844234, 80.2101808), (13.0843784, 80.2101794), (13.0841984, 80.2101743), (13.0838069, 80.210137), (13.0832094, 80.2100974), (13.0825727, 80.2101021), (13.082508, 80.2100982), (13.082508, 80.2100242), (13.0825042, 80.2097641), (13.0818163, 80.2097309), (13.0812512, 80.2096961), (13.08072, 80.2096859), (13.0805845, 80.2096934), (13.0805275, 80.2109818), (13.0804723, 80.2115157), (13.0790382, 80.2115004), (13.0790253, 80.2121418), (13.0788711, 80.2121103), (13.078569, 80.2120502), (13.0772514, 80.2117974), (13.077166, 80.2117818), (13.0771132, 80.211775), (13.0769454, 80.2117598), (13.0770826, 80.2106543), (13.0765836, 80.2105994), (13.0755702, 80.2103433), (13.075212, 80.210333), (13.0747448, 80.2102994), (13.0735078, 80.2102417), (13.0729354, 80.2102118), (13.0724239, 80.2102017), (13.0718191, 80.210159), (13.0715537, 80.2101486), (13.0709207, 80.2101422), (13.0709246, 80.2107154), (13.0696036, 80.2105623), (13.0689093, 80.2104749), (13.068953, 80.2102134), (13.0674901, 80.2100617), (13.0675304, 80.20981), (13.0673594, 80.2098011), (13.0670089, 80.209696), (13.0656454, 80.2108608), (13.0653579, 80.2110543), (13.0640884, 80.2116562), (13.0636875, 80.2117185), (13.0632132, 80.2117538), (13.0630066, 80.2117612), (13.0624349, 80.2117816), (13.0614704, 80.2117628), (13.0610057, 80.2117458), (13.0604704, 80.2117238), (13.059988, 80.2117045), (13.0595345, 80.2116855), (13.0591456, 80.2116665), (13.0586707, 80.2116447), (13.0577281, 80.2116277), (13.0573894, 80.2116174), (13.0567417, 80.2116008), (13.0563198, 80.2115936), (13.0545241, 80.2115786), (13.0539738, 80.2116948), (13.0532739, 80.2118749), (13.0525483, 80.2120573), (13.0475223, 80.2122822), (13.0470456, 80.2123497), (13.045226, 80.2124272), (13.0446545, 80.2124375), (13.0444803, 80.2124407), (13.0443933, 80.2124429), (13.0443017, 80.2124429), (13.0432984, 80.2124363), (13.0427973, 80.2124321), (13.0419074, 80.2124378), (13.0398539, 80.2124385), (13.0389531, 80.2124587), (13.0374591, 80.2124417), (13.0373232, 80.2124402), (13.0348934, 80.212246), (13.0348111, 80.2122349), (13.0340394, 80.2120523), (13.0331227, 80.211898), (13.032048, 80.2116672), (13.0323294, 80.2097601), (13.0322179, 80.2097334), (13.0301748, 80.2091371), (13.0296927, 80.2089975), (13.0293269, 80.2088896), (13.0290206, 80.2087875), (13.0287936, 80.2087203), (13.0253901, 80.2070857), (13.0240325, 80.2068638), (13.0221893, 80.206506), (13.0217923, 80.2064911), (13.021629, 80.2064889), (13.018522, 80.2061785), (13.0179963, 80.208689), (13.017237, 80.2085483), (13.017193, 80.2085198), (13.0159726, 80.2082122), (13.0156714, 80.2081707), (13.015607, 80.2085905), (13.0155866, 80.2087199), (13.0152036, 80.2088187), (13.0148592, 80.2096922), (13.0148034, 80.2101312), (13.0131544, 80.210275), (13.0130435, 80.2108518), (13.0127038, 80.2115383), (13.0125655, 80.2117795), (13.0125427, 80.2118132), (13.0119545, 80.2126805), (13.0118396, 80.2128717), (13.009488, 80.2110096), (13.0090089, 80.2116525), (13.0101861, 80.2149099), (13.0109201, 80.2170576), (13.012363, 80.2210838), (13.012364, 80.2212602), (13.0121486, 80.2210646)]"
Koyambedu,Velachery,17,Medium,0,Evening,R7,"[(13.0694705, 80.2112391), (13.0695015, 80.2109915), (13.0696036, 80.2105623), (13.0689093, 80.2104749), (13.068953, 80.2102134), (13.0674901, 80.2100617), (13.0675304, 80.20981), (13.0673594, 80.2098011), (13.0670089, 80.209696), (13.0656454, 80.2108608), (13.0653579, 80.2110543), (13.0640884, 80.2116562), (13.0636875, 80.2117185), (13.0632132, 80.2117538), (13.0630066, 80.2117612), (13.0624349, 80.2117816), (13.0614704, 80.2117628), (13.0610057, 80.2117458), (13.0604704, 80.2117238), (13.059988, 80.2117045), (13.0595345, 80.2116855), (13.0591456, 80.2116665), (13.0586707, 80.2116447), (13.0577281, 80.2116277), (13.0573894, 80.2116174), (13.0567417, 80.2116008), (13.0563198, 80.2115936), (13.0545241, 80.2115786), (13.0539738, 80.2116948), (13.0532739, 80.2118749), (13.0525483, 80.2120573), (13.0475223, 80.2122822), (13.0470456, 80.2123497), (13.045226, 80.2124272), (13.0446545, 80.2124375), (13.0444803, 80.2124407), (13.0443933, 80.2124429), (13.0443017, 80.2124429), (13.0432984, 80.2124363), (13.0427973, 80.2124321), (13.0419074, 80.2124378), (13.0398539, 80.2124385), (13.0389531, 80.2124587), (13.0374591, 80.2124417), (13.0373232, 80.2124402), (13.0348934, 80.212246), (13.0348111, 80.2122349), (13.0340394, 80.2120523), (13.0331227, 80.211898), (13.032048, 80.2116672), (13.0323294, 80.2097601), (13.0322179, 80.2097334), (13.0301748, 80.2091371), (13.0296927, 80.2089975), (13.0293269, 80.2088896), (13.0290206, 80.2087875), (13.0287936, 80.2087203), (13.0253901, 80.2070857), (13.0240325, 80.2068638), (13.0221893, 80.206506), (13.0217923, 80.2064911), (13.021629, 80.2064889), (13.018522, 80.2061785), (13.0176509, 80.205848), (13.0157784, 80.2051729), (13.0136586, 80.2043711), (13.0134377, 80.2042843), (13.0127185, 80.2040544), (13.0094243, 80.2038422), (13.0084448, 80.2041208), (13.0083659, 80.2040121), (13.0073787, 80.2041876), (13.0073166, 80.2042558), (13.0073085, 80.2047431), (13.0072092, 80.2049444), (13.0070432, 80.2049979), (13.0063629, 80.2051331), (13.0057538, 80.205247), (13.0054845, 80.2052883), (13.0047535, 80.2053897), (13.004096, 80.2054822), (13.0035492, 80.2055152), (13.003593, 80.2058275), (13.0035681, 80.2060567), (13.0035628, 80.2060916), (13.0035188, 80.2066392), (13.0034968, 80.2069119), (13.0034952, 80.2074648), (13.0034961, 80.2077124), (13.003605, 80.2079546), (13.0036788, 80.2081021), (13.0040454, 80.2085221), (13.0044233, 80.2087281), (13.004909, 80.2089508), (13.0060847, 80.2094516), (13.0060709, 80.2094986), (13.0037404, 80.2112851), (13.0037947, 80.2115039), (13.0037973, 80.2119457), (13.0037866, 80.2120421), (13.003711, 80.2120362), (13.0036069, 80.2120106), (13.0034575, 80.2120446), (13.0030788, 80.2120788), (13.0027314, 80.212101), (13.002593, 80.2121087), (13.0025385, 80.2121142), (13.0009268, 80.2131985), (12.9972779, 80.2164696), (12.9972089, 80.2165504), (12.9967043, 80.2165718), (12.9953837, 80.2169), (12.9915827, 80.2195803), (12.9914776, 80.2196467), (12.9901027, 80.2207226), (12.9888541, 80.2221745), (12.9886732, 80.222389), (12.9886651, 80.2223986), (12.9878444, 80.2230558), (12.9870692, 80.2230567), (12.9861768, 80.2229732), (12.9859715, 80.2229796), (12.9854614, 80.2233142), (12.9850804, 80.2232491), (12.9840511, 80.2226639), (12.9838003, 80.2225076), (12.9831615, 80.2221099), (12.9827629, 80.2218989), (12.9825674, 80.2218538), (12.9822402, 80.2217186), (12.981247, 80.2210859), (12.9810784, 80.2210148), (12.9775013, 80.221206), (12.977541, 80.2222232), (12.977566, 80.2226964), (12.9789132, 80.2220314)]"
Adyar,Marina Beach,6,Medium,0,Morning,R8,"[(13.0066762, 80.2572722), (13.0067416, 80.2574993), (13.0067779, 80.2575987), (13.0075262, 80.258616), (13.0082519, 80.2589687), (13.0092589, 80.2590552), (13.0098627, 80.2590605), (13.0106759, 80.2590659), (13.0179803, 80.2607532), (13.0183207, 80.2609771), (13.0187137, 80.2612947), (13.0189245, 80.2614705), (13.0190482, 80.2615779), (13.0196124, 80.262125), (13.0198607, 80.2623645), (13.0202745, 80.2626659), (13.0202472, 80.2630135), (13.0189973, 80.2629394), (13.0189591, 80.2673958), (13.019, 80.2674592), (13.0195184, 80.2681162), (13.0197637, 80.2684227), (13.0207122, 80.2695713), (13.0208034, 80.269693), (13.0215542, 80.2705426), (13.0221503, 80.2713146), (13.0238233, 80.2735553), (13.0240071, 80.2738017), (13.0240671, 80.2738735), (13.0258793, 80.275088), (13.0271618, 80.2756638), (13.0276178, 80.2758726), (13.0286414, 80.2763859), (13.0295108, 80.276664), (13.029667, 80.2767027), (13.0300481, 80.2768167), (13.0302132, 80.2768724), (13.0304664, 80.2769801), (13.030621, 80.2770906), (13.0306477, 80.2771102), (13.0310515, 80.2773497), (13.0318423, 80.2775666), (13.0320471, 80.2775503), (13.0324006, 80.2775105), (13.0334551, 80.2773791), (13.0353099, 80.2777339), (13.0354371, 80.2777167), (13.0359864, 80.2778281), (13.0362503, 80.2778791), (13.0368003, 80.278069), (13.0374295, 80.2782792), (13.037463, 80.2782895), (13.0393792, 80.2788583), (13.0394685, 80.2788859), (13.0432371, 80.2796389), (13.0432716, 80.2796082), (13.0433793, 80.2796082), (13.0434282, 80.2796646), (13.0433936, 80.279798), (13.0432256, 80.2797579)]"
Egmore,Central,4,Medium,0,Afternoon,R9,"[(13.0731807, 80.2607729), (13.0732278, 80.2607827), (13.0733137, 80.2608807), (13.0733104, 80.260916), (13.0732943, 80.2610467), (13.0734298, 80.2612701), (13.0736463, 80.2614882), (13.0739823, 80.2618886), (13.0742061, 80.2621548), (13.07472, 80.2627689), (13.0757868, 80.2642474), (13.0758182, 80.2643034), (13.0760833, 80.2647831), (13.0764523, 80.2652478), (13.0764718, 80.2652653), (13.0764992, 80.265316), (13.0786041, 80.26537), (13.0786602, 80.2653625), (13.0803737, 80.2651477), (13.0806787, 80.2651321), (13.0807843, 80.2651669), (13.0807792, 80.266937), (13.0807658, 80.2674773), (13.0807703, 80.268009), (13.0807851, 80.2685741), (13.0807902, 80.2688925), (13.0814794, 80.2689552), (13.0819377, 80.2689645), (13.0824585, 80.2696199), (13.0825038, 80.2700291), (13.082515, 80.2704409), (13.0825329, 80.2706992)]"
Egmore,Central,4,Low,0,Afternoon,R10,"[(13.0731807, 80.2607729), (13.0732278, 80.2607827), (13.0733137, 80.2608807), (13.0733104, 80.260916), (13.0732943, 80.2610467), (13.0734298, 80.2612701), (13.0736463, 80.2614882), (13.0739823, 80.2618886), (13.0742061, 80.2621548), (13.07472, 80.2627689), (13.0757868, 80.2642474), (13.0758182, 80.2643034), (13.0760833, 80.2647831), (13.0764523, 80.2652478), (13.0764718, 80.2652653), (13.0764992, 80.265316), (13.0786041, 80.26537), (13.0786602, 80.2653625), (13.0803737, 80.2651477), (13.0806787, 80.2651321), (13.0807843, 80.2651669), (13.0807792, 80.266937), (13.0807658, 80.2674773), (13.0807703, 80.268009), (13.0807851, 80.2685741), (13.0807902, 80.2688925), (13.0814794, 80.2689552), (13.0819377, 80.2689645), (13.0824585, 80.2696199), (13.0825038, 80.2700291), (13.082515, 80.2704409), (13.0825329, 80.2706992)]"
